month,mkt_excess,Rfree
1989-06,-0.012711,0.0070999999999999995
1989-07,0.08305299999999999,0.006999999999999999
1989-08,0.012452999999999999,0.0074
1989-09,-0.010504,0.006500000000000001
1989-10,-0.030439,0.0068000000000000005
1989-11,0.013579,0.0069
1989-12,0.016557000000000002,0.0060999999999999995
1990-01,-0.073361,0.005699999999999999
1990-02,0.007681000000000001,0.005699999999999999
1990-03,0.020188,0.0064
1990-04,-0.031404,0.0069
1990-05,0.090619,0.0068000000000000005
1990-06,-0.013054,0.0063
1990-07,-0.011254,0.0068000000000000005
1990-08,-0.097401,0.0066
1990-09,-0.054959,0.006
1990-10,-0.010397,0.0068000000000000005
1990-11,0.058861,0.005699999999999999
1990-12,0.021987,0.006
1991-01,0.039801,0.0052
1991-02,0.066765,0.0048
1991-03,0.019954,0.0044
1991-04,-0.003032,0.0053
1991-05,0.03823,0.004699999999999999
1991-06,-0.049557000000000004,0.0042
1991-07,0.041625999999999996,0.0049
1991-08,0.019285,0.0046
1991-09,-0.021461,0.0046
1991-10,0.009257999999999999,0.0042
1991-11,-0.044114,0.0039000000000000003
1991-12,0.110289,0.0038
1992-01,-0.021748,0.0034000000000000002
1992-02,0.010065,0.0028000000000000004
1992-03,-0.02287,0.0034000000000000002
1992-04,0.025414,0.0032
1992-05,0.0020499999999999997,0.0028000000000000004
1992-06,-0.01823,0.0032
1992-07,0.037824,0.0031
1992-08,-0.023215,0.0026
1992-09,0.00874,0.0026
1992-10,0.002496,0.0023
1992-11,0.031493999999999994,0.0023
1992-12,0.010579999999999999,0.0028000000000000004
1993-01,0.004982,0.0023
1993-02,0.011326,0.0022
1993-03,0.018702,0.0025
1993-04,-0.026919,0.0024
1993-05,0.024059,0.0022
1993-06,0.0009659999999999998,0.0025
1993-07,-0.006992999999999999,0.0024
1993-08,0.034931,0.0025
1993-09,-0.010182,0.0026
1993-10,0.017684,0.0022
1993-11,-0.011155,0.0025
1993-12,0.010346,0.0023
1994-01,0.030929,0.0025
1994-02,-0.029261000000000002,0.0021
1994-03,-0.046156,0.0027
1994-04,0.010117000000000001,0.0027
1994-05,0.013209,0.0031
1994-06,-0.027861999999999998,0.0031
1994-07,0.029914,0.0028000000000000004
1994-08,0.037641,0.0037
1994-09,-0.027639999999999998,0.0037
1994-10,0.018822,0.0038
1994-11,-0.039948000000000004,0.0037
1994-12,0.010554999999999998,0.0044
1995-01,0.021799000000000002,0.0042
1995-02,0.035227999999999995,0.004
1995-03,0.024734,0.0046
