month,mkt_excess,Rfree,lty,ltr,tms,tbl,d/p,e/p,d/e,b/m,dfy,dfr,infl,ntis,svar,lzrt,wtexas,ndrbl,skvw,tail,dtoy,dtoat,ygap,rdsp,avgcor
1986-01,-0.0008940000000000007,0.005600000000000001,0.0956,0.0541,0.02460000000000001,0.071,0.03739113971980311,0.06914994320333206,0.5407255304585901,0.59269268816231,0.014200000000000004,-0.007200000000000005,0.0027522935779815683,-0.019465079205520434,0.0012300755362928404,-1.7607721386529542,-0.10913364674278037,0.0333650964324435,0.0387687012553215,0.47625699639320374,0.995859893116992,0.995859893116992,-2.7600382192057493,0.019643962148344716,0.20954608917236328
1986-02,0.071225,0.0053,0.0958,-0.0025,0.025099999999999997,0.0707,0.037491736707904434,0.06884502785909906,0.5445816186556928,0.5835173998561417,0.013899999999999996,0.006999999999999999,0.0027447392497712553,-0.01917177407462223,0.0019201583950002386,-1.7720567528009463,-0.28948360346777235,0.030804921593561768,0.002471193205565214,0.4638402462005615,1.0,1.0,-2.7638165714596794,0.019859023573003284,0.2545211613178253
1986-03,0.049832,0.006,0.0841,0.1145,0.013499999999999998,0.0706,0.035166578529878374,0.06411951348492861,0.5484536082474227,0.5363767217066692,0.014399999999999996,-0.0393,-0.0027372262773722733,-0.017914260169331078,0.0010892901972809844,-1.7788119362629289,-0.2970822281167109,0.022809181286574814,0.0613221637904644,0.46354615688323975,0.9971236704998279,0.9971236704998279,-2.8304281469799375,0.024288734773190632,0.23778852820396423
1986-04,-0.018548000000000002,0.0052,0.0766,0.077,0.01100000000000001,0.06559999999999999,0.03357053160318124,0.060778568438677266,0.5523415977961432,0.5196276276936782,0.015,-0.0514,-0.0045745654162854255,-0.0164196183723706,0.0013737344092916417,-1.8988857473437766,-0.2128301886792453,0.03295926343831155,0.06680214405059814,0.4454112648963928,0.9982928221680609,0.9982928221680609,-2.8754399714523733,0.02177653320903949,0.2230558693408966
1986-05,0.050426,0.0049,0.0782,-0.008,0.01760000000000001,0.060599999999999994,0.034165548573369564,0.06191958220108695,0.5517729183380992,0.5297144586822722,0.013999999999999999,0.009600000000000001,-0.0018382352941176405,-0.02458478138906588,0.0024589457125716715,-1.8537168718073647,0.2799616490891659,-0.02363814263899168,0.003054725704714656,0.46740007400512695,0.9612479120642275,0.9612479120642275,-2.8523772607704574,0.02657902028235804,0.24117325246334076
1986-06,0.010544000000000001,0.0052,0.0848,-0.0505,0.023299999999999994,0.061500000000000006,0.03263929654335961,0.05921447341823327,0.551204708227792,0.5035407708170149,0.011999999999999997,0.034100000000000005,0.002762430939226679,-0.02187195785673396,0.00136993106863812,-1.7230327258912035,0.07490636704119846,-0.013738210089946929,0.07243221253156662,0.45092153549194336,0.9970037453183521,0.9970037453183521,-2.900861527931862,0.022267738578939714,0.2658405005931854
1986-07,-0.062741,0.0052,0.079,0.0613,0.0169,0.0621,0.0322915005581247,0.05864295965555733,0.5506458191706322,0.49928145737351537,0.012099999999999986,-0.0395,0.005509641873278293,-0.012293238469675633,0.0015965185338466675,-1.713557652794712,-0.10801393728222985,-0.016688010946516934,0.04049955680966377,0.46260666847229004,1.0,1.0,-2.911395223548279,0.02279509332593091,0.29572680592536926
1986-08,0.06981699999999999,0.0046,0.0809,-0.0108,0.022600000000000002,0.0583,0.03448809927155684,0.06249661189225818,0.5518395034120095,0.5323014008820994,0.012799999999999992,0.013900000000000001,0.0,-0.011286035053009725,0.0024158243147247263,-1.8102287612120262,-0.11093750000000002,-0.0028183986611521206,-0.0014603579184040427,0.4538877010345459,0.9299539556738239,0.9299539556738239,-2.843101397081612,0.031969996440625384,0.2928362786769867
1986-09,-0.087743,0.0045000000000000005,0.0763,0.0499,0.021000000000000005,0.0553,0.0323673348357253,0.05852726050685961,0.5530300676200577,0.49780334397420906,0.014600000000000002,-0.0224,0.0018264840182649067,-0.009676954294520833,0.0012605845884667297,-1.7293563903406022,0.39543057996485054,-0.01838579781490275,0.06486993283033371,0.45650002360343933,0.9944002975333023,0.9944002975333023,-2.9075088144512446,0.035115446986662434,0.2849266529083252
1986-10,0.051938,0.0046,0.0827,-0.05,0.030599999999999995,0.0521,0.035578419505447004,0.06419678367629258,0.5542087542087543,0.5346292671335952,0.013099999999999987,0.0386,0.004557885141294404,-0.00513865822040124,0.0042073830013975655,-1.8288091477048776,-0.049118387909319994,0.022557058469514352,-0.05167139321565628,0.44320574402809143,0.9207536555000494,0.9207536555000494,-2.8176576051417372,0.02671889460321291,0.35210609436035156
